Year,Title,Developer,Note,Platform,Publisher,Rank,Sales
2019,Kingdom Hearts III,Square Enix Business Division 3,,,Square Enix,8.,
2019,Tom Clancy's The Division 2,Massive Entertainment,,,Ubisoft,9.,
2019,Mario Kart 8 Deluxe,Nintendo EPD,Digital sales not included,,Nintendo,10.,
2020,Call of Duty: Black Ops Cold War,"Treyarch, Raven Software",,,Activision Blizzard,1.,
2020,NBA 2K21,Visual Concepts,,,Take-Two Interactive,3.,
2020,Animal Crossing: New Horizons,Nintendo EPD,Digital sales not included,,Nintendo,4.,
2020,Madden NFL 21,EA Tiburon,,,Electronic Arts,5.,
2020,Assassin's Creed Valhalla,Ubisoft Montreal,,,Ubisoft,6.,
2020,The Last of Us Part II,Naughty Dog,,,Sony Interactive Entertainment,7.,
2020,Grand Theft Auto V,Rockstar North,,,Take-Two Interactive,8.,
2020,Ghost of Tsushima,Sucker Punch,,,Sony Interactive Entertainment,8.,
2020,Doom Eternal,id Software,,,Bethesda Softworks,10.,
2021,Call of Duty: Vanguard,Sledgehammer Games,,,Activision Blizzard,1.,
2021,Madden NFL 22,EA Tiburon,,,Electronic Arts,3.,
2021,Pokémon Brilliant Diamond and Shining Pearl,ILCA,Digital sales not included,,Nintendo,4.,
2021,Battlefield 2042,DICE,,,Electronic Arts,5.,
2021,Marvel's Spider-Man: Miles Morales,Insomniac Games,,,Sony Interactive Entertainment,6.,
2021,Mario Kart 8 Deluxe,Nintendo EPD,Digital sales not included,,Nintendo,7.,
2021,Resident Evil Village,Capcom,,,Capcom,8.,
2021,MLB The Show 21,San Diego Studio,Digital sales incomplete,,"Sony Interactive Entertainment, MLBAM",9.,
2021,Super Mario 3D World + Bowser's Fury,Nintendo EPD,Digital sales not included,,Nintendo,10.,
2022,Call of Duty: Modern Warfare II,Infinity Ward,,,Activision Blizzard,1.,
2022,Elden Ring,FromSoftware,,,Bandai Namco,2.,
2022,Madden NFL 23,EA Orlando,,,Electronic Arts,3.,
2022,God of War Ragnarök,Santa Monica Studio,,,Sony Interactive Entertainment,4.,
2022,Lego Star Wars: The Skywalker Saga,Traveller's Tales,,,Warner Bros. Games,5.,
2022,Pokémon Scarlet and Violet,Game Freak,Digital sales not included,,Nintendo,6.,
2022,FIFA 23,"EA Vancouver, EA Romania",,,Electronic Arts,7.,
2022,Pokémon Legends: Arceus,Game Freak,Digital sales not included,,Nintendo,8.,
2022,Horizon Forbidden West,Guerrilla Games,,,Sony Interactive Entertainment,9.,
2022,MLB The Show 22,San Diego Studio,Digital sales incomplete,,"Sony Interactive Entertainment, MLBAM",10.,
2023,Hogwarts Legacy,Avalanche Software,,,Warner Bros. Games,1.,
2023,Call of Duty: Modern Warfare III,Sledgehammer Games,,,Activision Blizzard,2.,
2023,Madden NFL 24,EA Orlando,,,Electronic Arts,3.,
2023,Marvel's Spider-Man 2,Insomniac Games,,,Sony Interactive Entertainment,4.,
2023,The Legend of Zelda: Tears of the Kingdom,Nintendo EPD,Digital sales not included,,Nintendo,5.,
2023,Diablo IV,Blizzard Entertainment,Battle.net sales not included,,Activision Blizzard,6.,
2023,Mortal Kombat 1,NetherRealm Studios,,,Warner Bros. Games,8.,
2023,Star Wars Jedi: Survivor,Respawn Entertainment,,,Electronic Arts,9.,
2024,EA Sports College Football 25,EA Orlando,,,Electronic Arts,1.,
2024,Helldivers 2,Arrowhead Game Studios,,,Sony Interactive Entertainment,2.,
2024,Call of Duty: Modern Warfare III,Sledgehammer Games,,,Activision Blizzard,3.,
2024,Dragon's Dogma II,Capcom,,,Capcom,4.,
2024,EA Sports MVP Bundle,EA Orlando,,,Electronic Arts,5.,
2024,Elden Ring,FromSoftware,,,Bandai Namco,6.,
2024,MLB The Show 24,San Diego Studio,,,"MLBAM, Sony Interactive Entertainment",7.,
2024,WWE 2K24,Visual Concepts,,,Take-Two Interactive,8.,
2024,Final Fantasy VII Rebirth,Square Enix Creative Business Unit I,,,Square Enix,9.,
2024,Tekken 8,"Bandai Namco Studios, Arika",,,Bandai Namco Entertainment,10.,
